event_type,event_count
rebound,790490
twopointmiss,425422
turnover,410166
twopointmade,400648
freethrowmade,316637
assist,293403
threepointmiss,291935
personalfoul,243613
shootingfoul,183541
threepointmade,153967
freethrowmiss,134256
block,81863
attemptblocked,81863
tvtimeout,79960
teamtimeout,63613
deadball,55249
offensivefoul,48713
lineupchange,35926
endperiod,23128
opentip,11133
officialtimeout,7528
openinbound,6847
jumpball,6157
technicalfoul,6050
review,3370
flagrantone,1778
kickball,1660
substitution,466
possession,390
laneviolation,242
flagranttwo,118
minortechnicalfoul,89
delay,60
clearpathfoul,53
ejection,53
defensivethreeseconds,4
freethrow,2
